Title,Author,Length
Forgotten in Death,J. D. Robb,14 hrs and 7 mins
Swordheart,T. Kingfisher,14 hrs and 32 mins
The Return,Jennifer L. Armentrout,11 hrs and 26 mins
Ask Me Again,E. J. Noyes,9 hrs and 44 mins
Insolent,T.L. Smith,5 hrs and 53 mins
Insolent,T.L. Smith,5 hrs and 53 mins
Complicated,Kristen Ashley,18 hrs and 22 mins
The Boyfriend Material Collection,Lauren Blakely,23 hrs and 18 mins
The Rules of Dating My One-Night Stand,Penelope Ward,9 hrs and 12 mins
Lady Sophie’s Christmas Wish,Grace Burrowes,10 hrs and 26 mins
One Ride,Chelsea Camaron,7 hrs and 13 mins
The Complete Sinful Men Collection,Lauren Blakely,36 hrs and 38 mins
Scandal's Bride,Stephanie Laurens,13 hrs and 48 mins
Dark in Death,J. D. Robb,13 hrs and 25 mins
Brut [Rough],Vanessa Vale,5 hrs and 35 mins
Christmas at the Edge of the World,Kate Hewitt,6 hrs and 21 mins
A Secret Love,Stephanie Laurens,13 hrs and 35 mins
White Hot,Ilona Andrews,13 hrs and 18 mins
Thin Ice,Irene Hannon,10 hrs and 43 mins
Mates: Posy,Mary Ann Weir,10 hrs and 55 mins
Wish,Cambria Hebert,13 hrs and 36 mins
Feral,Vanessa Vale,5 hrs and 25 mins
Slayers Hockey Bundle 1-3,Mira Lyn Kelly,16 hrs and 40 mins
Professor Feelgood,Leisa Rayven,10 hrs and 10 mins
Consort of Secrets: A Paranormal Reverse Harem Novel,Eva Chase,7 hrs and 19 mins
An Act of Redemption,K.C. Lynn,8 hrs and 48 mins
An Act of Redemption,K.C. Lynn,8 hrs and 48 mins
La croix de feu,Diana Gabaldon,23 hrs and 26 mins
Make-Believe Match,Melanie Harlow,8 hrs and 46 mins
Don't Cheat Me,Jackie May,7 hrs and 36 mins
Bonds of Justice,Nalini Singh,11 hrs and 29 mins
"The Complete Novels : Sense and Sensibility, Pride and Prejudice, Mansfield Park, Emma, Northanger Abbey and Persuasion",Jane Austen,81 hrs and 2 mins
"Infinity Chronicles, Book 2",Albany Walker,7 hrs and 45 mins
Leverage,E. J. Noyes,10 hrs and 11 mins
Shadows So Cruel,Liv Zander,15 hrs
Princes of Ash,Angel Lawson,18 hrs and 20 mins
Veiled Threat,Helen Harper,8 hrs and 41 mins
An Introduction to Pleasure,Jess Michaels,8 hrs and 33 mins
Hook Shot,Kennedy Ryan,14 hrs and 9 mins
Quadruple Duty: A Military Reverse Harem Romance,Krista Wolf,8 hrs and 18 mins
Payback’s a Bitch,Missy Johnson,6 hrs and 6 mins
Undead and Unwary,MaryJanice Davidson,10 hrs and 53 mins
Noble House,James Clavell,54 hrs and 43 mins
Underneath It All,Kate Canterbary,8 hrs and 17 mins
"Dark Skye: Immortals After Dark, Book 15",Kresley Cole,14 hrs and 58 mins
The Scottish Prisoner,Diana Gabaldon,15 hrs and 47 mins
Blue,Danielle Steel,8 hrs and 2 mins
Blue,Danielle Steel,8 hrs and 2 mins
In Safe Hands,Katie Ruggle,10 hrs and 32 mins
Road to Blissville Series Boxed Set,Aimee Nicole Walker,24 hrs and 19 mins
Vandal,Carian Cole,9 hrs
The Awakening,Nora Roberts,15 hrs and 27 mins
Rose,Cebelius,9 hrs and 32 mins
Heartless,Mary Balogh,14 hrs and 3 mins
Club 22,Tate James,11 hrs and 47 mins
Christmas in the Scottish Highlands,Donna Ashcroft,9 hrs and 15 mins
Room Mates,Kendall Ryan,20 hrs and 23 mins
The Collector,Nora Roberts,15 hrs and 44 mins
"A Laird for All Time: A Laird for All Time, Book 1",Angeline Fortin,10 hrs and 31 mins
Gypsy Moon,Kristy Cunning,9 hrs and 12 mins
Savage,Renee Rose,5 hrs and 27 mins
Wolves of Summer: Bound to the Fae—Books 1-3,Eva Chase,30 hrs and 10 mins
Le hasard fait bien les choses,Vi Keeland,11 hrs and 26 mins
Fierce,Vanessa Vale,5 hrs and 21 mins
Winter's Promise,Julie Trettel,6 hrs and 31 mins
A Castaway in Cornwall,Julie Klassen,13 hrs and 7 mins
Bat Boy,Christina Lee,5 hrs and 38 mins
